t_s,u_stream_mean,u_stream_rms,u_lat_rms,u_vert_rms
4.98,12,0.773269,0.693963,0.774076
4.99,12,0.75502,0.685014,0.777523
5,12,0.752885,0.717611,0.816261
5.01,12,0.734839,0.69864,0.819755
5.02,12,0.735861,0.714715,0.854785
5.03,12,0.716747,0.694357,0.853849
5.04,12,0.714957,0.709694,0.883196
5.05,12,0.691443,0.700423,0.888416
5.06,12,0.687141,0.727535,0.917861
5.07,12,0.665775,0.718228,0.900756
5.08,12,0.663272,0.745732,0.909308
5.09,12,0.643834,0.720245,0.865898
5.1,12,0.645135,0.723006,0.849175
5.11,12,0.631664,0.686039,0.80049
5.12,12,0.639408,0.683395,0.78163
5.13,12,0.631582,0.65446,0.736353
5.14,12,0.644835,0.672533,0.72947
5.15,12,0.638903,0.665367,0.691026
5.16,12,0.655383,0.702445,0.691871
5.17,12,0.650173,0.685068,0.64837
5.18,12,0.664987,0.711566,0.645637
5.19,12,0.662617,0.692034,0.625827
5.2,12,0.680383,0.713112,0.645043
5.21,12,0.680573,0.712308,0.616744
5.22,12,0.699469,0.754912,0.624089
5.23,12,0.6969,0.762317,0.588366
5.24,12,0.712885,0.80838,0.593206
5.25,12,0.706689,0.831249,0.561388
5.26,12,0.71738,0.888043,0.575939
5.27,12,0.70912,0.911475,0.554421
5.28,12,0.718856,0.961613,0.586428
5.29,12,0.713356,0.981453,0.578982
5.3,12,0.725947,1.02692,0.613928
5.31,12,0.716245,1.03525,0.597982
5.32,12,0.725909,1.06668,0.626468
5.33,12,0.714218,1.03638,0.611772
5.34,12,0.721218,1.02575,0.640153
5.35,12,0.709657,0.997032,0.634574
5.36,12,0.717891,0.995632,0.66916
5.37,12,0.71016,0.970823,0.656524
5.38,12,0.720902,0.97419,0.68859
5.39,12,0.71442,0.932962,0.679769
5.4,12,0.728104,0.919743,0.709327
5.41,12,0.717876,0.879568,0.702061
5.42,12,0.725022,0.870861,0.729478
5.43,12,0.711414,0.829152,0.711112
5.44,12,0.716722,0.817145,0.726957
5.45,12,0.700549,0.777074,0.712393
5.46,12,0.702443,0.769083,0.740148
5.47,12,0.68859,0.751694,0.727446
5.48,12,0.694577,0.77123,0.751861
5.49,12,0.687652,0.760273,0.753126
5.5,12,0.701391,0.784247,0.794654
5.51,12,0.698138,0.746812,0.798779
5.52,12,0.71525,0.741973,0.836201
5.53,12,0.713793,0.699792,0.837579
5.54,12,0.733017,0.695316,0.86996
5.55,12,0.737057,0.660789,0.871764
5.56,12,0.760677,0.672816,0.902419
5.57,12,0.765345,0.650936,0.897762
5.58,12,0.787826,0.668339,0.922575
5.59,12,0.790595,0.630637,0.907248
5.6,12,0.810736,0.634662,0.919354
5.61,12,0.812812,0.607354,0.88936
5.62,12,0.831372,0.6196,0.886746
5.63,12,0.832487,0.585532,0.857278
5.64,12,0.850133,0.601135,0.858373
5.65,12,0.842933,0.587003,0.845905
5.66,12,0.85065,0.613551,0.867681
5.67,12,0.839609,0.579543,0.856738
5.68,12,0.84597,0.583847,0.873378
5.69,12,0.838419,0.542184,0.838019
5.7,12,0.846364,0.550322,0.827689
5.71,12,0.833659,0.519029,0.789481
5.72,12,0.83619,0.533568,0.785511
5.73,12,0.821877,0.506398,0.738498
5.74,12,0.822155,0.53155,0.724485
5.75,12,0.80902,0.512484,0.688427
5.76,12,0.81195,0.542141,0.69346
5.77,12,0.796956,0.533354,0.679012
5.78,12,0.797784,0.577968,0.708798
5.79,12,0.778724,0.583656,0.707395
5.8,12,0.776731,0.631236,0.743942
5.81,12,0.757191,0.647014,0.743641
5.82,12,0.755956,0.702361,0.776296
5.83,12,0.737113,0.703991,0.761293
5.84,12,0.736081,0.739152,0.779088
5.85,12,0.71071,0.737081,0.762247
5.86,12,0.703734,0.768132,0.777266
5.87,12,0.681198,0.755746,0.758027
5.88,12,0.680929,0.773028,0.776224
5.89,12,0.667748,0.748433,0.759812
5.9,12,0.675339,0.760285,0.778684
5.91,12,0.665869,0.7444,0.738343
5.92,12,0.677018,0.763421,0.731027
5.93,12,0.671385,0.73765,0.683075
5.94,12,0.686407,0.748198,0.67472
5.95,12,0.676006,0.721575,0.64215
5.96,12,0.683902,0.73706,0.659674
5.97,12,0.664511,0.721596,0.640076
5.98,12,0.66435,0.75039,0.660712
5.99,12,0.646086,0.71496,0.640782
6,12,0.647866,0.715147,0.656894
6.01,12,0.632673,0.678422,0.643472
6.02,12,0.640332,0.678633,0.671932
6.03,12,0.638646,0.654424,0.66623
6.04,12,0.660505,0.671878,0.700509
6.05,12,0.669312,0.649882,0.701007
6.06,12,0.697664,0.670378,0.736831
6.07,12,0.705008,0.64798,0.736592
6.08,12,0.728337,0.66022,0.772299
6.09,12,0.730447,0.623304,0.772733
6.1,12,0.749249,0.633849,0.801943
6.11,12,0.751733,0.620756,0.778731
6.12,12,0.771292,0.647801,0.788095
6.13,12,0.77548,0.631073,0.762323
6.14,12,0.79654,0.650477,0.771914
6.15,12,0.797487,0.632716,0.752171
6.16,12,0.814521,0.659162,0.774596
6.17,12,0.812499,0.634898,0.763612
6.18,12,0.827729,0.651429,0.79202
6.19,12,0.823407,0.641462,0.78489
6.2,12,0.83558,0.678577,0.816311
6.21,12,0.82916,0.669949,0.815738
6.22,12,0.838649,0.700729,0.84856
6.23,12,0.832805,0.678893,0.83709
6.24,12,0.844444,0.694529,0.856983
6.25,12,0.843921,0.680712,0.850104
6.26,12,0.860349,0.707825,0.876514
6.27,12,0.854482,0.701906,0.843685
6.28,12,0.863259,0.734569,0.842531
6.29,12,0.847567,0.717726,0.798532
6.3,12,0.847985,0.733275,0.789531
6.31,12,0.831757,0.706668,0.756592
6.32,12,0.832492,0.718842,0.760465
6.33,12,0.822258,0.710807,0.726386
6.34,12,0.82893,0.739655,0.729577
6.35,12,0.818991,0.737547,0.69793
6.36,12,0.823199,0.774232,0.704819
6.37,12,0.807071,0.773709,0.671245
6.38,12,0.806581,0.804172,0.676535
6.39,12,0.786526,0.784296,0.643038
6.4,12,0.782402,0.794258,0.652791
6.41,12,0.765149,0.780966,0.636065
6.42,12,0.765475,0.803641,0.655481
6.43,12,0.752999,0.795124,0.633203
6.44,12,0.758663,0.821598,0.645554
6.45,12,0.746887,0.803454,0.630931
6.46,12,0.753016,0.826506,0.656216
6.47,12,0.742234,0.817916,0.651106
6.48,12,0.750063,0.839922,0.687573
